Producto,Identificador,Venta,Semana,Fecha
AGUILA 750,016,0,10,03/11/2026
POKER 750,017,0,10,03/11/2026
LIGHT 750,018,0,10,03/11/2026
AGUILA 250X38,019,0,10,03/11/2026
POKER 250X38,020,0,10,03/11/2026
LIGTH 250X38,021,0,10,03/11/2026
CLUB 850X13,022,2,10,03/11/2026
AGUILA LITROX13,023,0,10,03/11/2026
POKER 1000X13,024,1,10,03/11/2026
AZTEKA 330X6,025,1,10,03/11/2026
AGUILA 330,026,6,10,03/11/2026
POKER 330,027,0,10,03/11/2026
LIGHT 330,028,1,10,03/11/2026
COLA LATA,029,3,10,03/11/2026
COLA POLA  1.5,030,8,10,03/11/2026
COLA Y POLA X400,031,0,10,03/11/2026
CLUB C. 330,032,0,10,03/11/2026
CLUB NEGRA 355 LTA,033,0,10,03/11/2026
CLUB AZULLTA,034,0,10,03/11/2026
REDDS 269X6,035,0,10,03/11/2026
